season_number,episode_number,contestant_id,contestant_name,episode_placement
10,5,122,Kameron Michaels,SAFE
10,5,117,Asia O'Hara,SAFE
10,5,118,Miz Cracker,HIGH
10,5,121,Monét X Change,BTM2
10,5,127,The Vixen,LOW
10,5,125,Monique Heart,HIGH
10,5,120,Blair St. Clair,SAFE
10,5,123,Mayhem Miller,ELIM
10,6,129,Aquaria,SAFE
10,6,116,Eureka,WIN
10,6,122,Kameron Michaels,HIGH
10,6,117,Asia O'Hara,SAFE
10,6,118,Miz Cracker,LOW
10,6,121,Monét X Change,HIGH
10,6,127,The Vixen,BTM2
10,6,125,Monique Heart,SAFE
10,6,120,Blair St. Clair,ELIM
10,7,129,Aquaria,WIN
10,7,116,Eureka,HIGH
10,7,122,Kameron Michaels,SAFE
10,7,117,Asia O'Hara,LOW
10,7,118,Miz Cracker,SAFE
10,7,121,Monét X Change,HIGH
10,7,127,The Vixen,BTM2
10,7,125,Monique Heart,ELIM
10,8,129,Aquaria,LOW
10,8,116,Eureka,SAFE
10,8,122,Kameron Michaels,WIN
10,8,117,Asia O'Hara,BTM2
10,8,118,Miz Cracker,SAFE
10,8,121,Monét X Change,HIGH
10,8,127,The Vixen,ELIM
10,9,129,Aquaria,HIGH
10,9,116,Eureka,BTM2
10,9,122,Kameron Michaels,BTM2
10,9,117,Asia O'Hara,WIN
10,9,118,Miz Cracker,LOW
10,9,121,Monét X Change,HIGH
10,10,129,Aquaria,LOW
10,10,116,Eureka,HIGH
10,10,122,Kameron Michaels,BTM2
10,10,117,Asia O'Hara,HIGH
10,10,118,Miz Cracker,WIN
10,10,121,Monét X Change,ELIM
10,11,129,Aquaria,WIN
10,11,116,Eureka,HIGH
10,11,122,Kameron Michaels,BTM2
10,11,117,Asia O'Hara,HIGH
10,11,118,Miz Cracker,ELIM
10,12,129,Aquaria,SAFE
10,12,116,Eureka,SAFE
10,12,122,Kameron Michaels,SAFE
10,12,117,Asia O'Hara,SAFE
10,13,129,Aquaria,Guest
10,13,116,Eureka,Guest
10,13,122,Kameron Michaels,Guest
10,13,117,Asia O'Hara,Guest
10,13,118,Miz Cracker,Guest
10,13,121,Monét X Change,Guest
10,13,127,The Vixen,Guest
10,13,125,Monique Heart,Guest
10,13,120,Blair St. Clair,Guest
10,13,123,Mayhem Miller,Guest
10,13,126,Dusty Ray Bottoms,Guest
10,13,119,Yuhua Hamasaki,Guest
10,13,124,Kalorie Karbdashian Williams,Guest
10,13,128,Vanessa Vanjie Mateo,Guest
10,14,129,Aquaria,Winner
10,14,116,Eureka,Runner-up
10,14,122,Kameron Michaels,Runner-up
10,14,117,Asia O'Hara,Eliminated
10,14,118,Miz Cracker,Guest
10,14,121,Monét X Change,Miss C
10,14,127,The Vixen,Guest
10,14,125,Monique Heart,Guest
10,14,120,Blair St. Clair,Guest
10,14,123,Mayhem Miller,Guest
10,14,126,Dusty Ray Bottoms,Guest
10,14,119,Yuhua Hamasaki,Guest
10,14,124,Kalorie Karbdashian Williams,Guest
10,14,128,Vanessa Vanjie Mateo,Guest
11,1,137,A'keria Chanel Davenport,HIGH
11,1,140,Brooke Lynn Hytes,WIN
11,1,139,Silky Nutmeg Ganache,SAFE
11,1,138,Yvie Oddly,SAFE
11,1,130,Vanessa Vanjie Mateo,HIGH
11,1,131,Nina West,LOW
11,1,132,Shuga Cain,SAFE
11,1,133,Plastique Tiara,HIGH
11,1,142,Ra'jah D. O'Hara,SAFE
11,1,135,Scarlet Envy,SAFE
11,1,141,Ariel Versace,SAFE
11,1,134,Mercedes Iman Diamond,LOW
11,1,136,Honey Davenport,SAFE
11,1,143,Kahanna Montrese,BTM2
11,1,144,Soju,ELIM
11,2,137,A'keria Chanel Davenport,SAFE
11,2,140,Brooke Lynn Hytes,LOW
11,2,139,Silky Nutmeg Ganache,SAFE
