contestant_id,contestant_name,season_number,episode_number,season_outcome,episode_placement,episode_title,episode_airdate,episode_type,episode_maxi_challenge_type,contestant_entrance,age,hometown_city,hometown_state,handle_instagram,handle_twitter
26,Stacy Layne Matthews,3,3,8,HIGH,Queens in Space,2011-01-31,Competition,Acting,5,25,Back Swamp,North Carolina,stacylmatthews,StacyLMatthews
28,Yara Sofia,3,3,4,HIGH,Queens in Space,2011-01-31,Competition,Acting,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
29,Mariah,3,3,9,HIGH,Queens in Space,2011-01-31,Competition,Acting,8,29,Atlanta,Georgia,mug4dayz,mug4dayz
30,Alexis Mateo,3,3,3,WIN,Queens in Space,2011-01-31,Competition,Acting,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
31,India Ferrah,3,3,10,SAFE,Queens in Space,2011-01-31,Competition,Acting,10,23,Dayton,Ohio,indiaferrah,Indiaferrah
32,Mimi Imfurst,3,3,11,HIGH,Queens in Space,2011-01-31,Competition,Acting,11,27,New York,New York,mimiimfurst,
33,Raja,3,3,1,SAFE,Queens in Space,2011-01-31,Competition,Acting,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,3,6,WIN,Queens in Space,2011-01-31,Competition,Acting,13,29,Los Angeles,California,itsshangela,itsSHANGELA
22,Delta Work,3,4,7,SAFE,Totally Leotarded,2011-02-07,Competition,Personal Branding,1,34,Norwalk,California,deltawork,
23,Carmen Carrera,3,4,5,SAFE,Totally Leotarded,2011-02-07,Competition,Personal Branding,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
25,Manila Luzon,3,4,2,SAFE,Totally Leotarded,2011-02-07,Competition,Personal Branding,4,28,New York,New York,manilaluzon,manilaluzon
26,Stacy Layne Matthews,3,4,8,HIGH,Totally Leotarded,2011-02-07,Competition,Personal Branding,5,25,Back Swamp,North Carolina,stacylmatthews,StacyLMatthews
28,Yara Sofia,3,4,4,HIGH,Totally Leotarded,2011-02-07,Competition,Personal Branding,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
29,Mariah,3,4,9,LOW,Totally Leotarded,2011-02-07,Competition,Personal Branding,8,29,Atlanta,Georgia,mug4dayz,mug4dayz
30,Alexis Mateo,3,4,3,WIN,Totally Leotarded,2011-02-07,Competition,Personal Branding,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
31,India Ferrah,3,4,10,BTM2,Totally Leotarded,2011-02-07,Competition,Personal Branding,10,23,Dayton,Ohio,indiaferrah,Indiaferrah
32,Mimi Imfurst,3,4,11,ELIM,Totally Leotarded,2011-02-07,Competition,Personal Branding,11,27,New York,New York,mimiimfurst,
33,Raja,3,4,1,SAFE,Totally Leotarded,2011-02-07,Competition,Personal Branding,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,4,6,SAFE,Totally Leotarded,2011-02-07,Competition,Personal Branding,13,29,Los Angeles,California,itsshangela,itsSHANGELA
22,Delta Work,3,5,7,SAFE,QNN News,2011-02-14,Competition,Talk Show,1,34,Norwalk,California,deltawork,
23,Carmen Carrera,3,5,5,SAFE,QNN News,2011-02-14,Competition,Talk Show,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
25,Manila Luzon,3,5,2,WIN,QNN News,2011-02-14,Competition,Talk Show,4,28,New York,New York,manilaluzon,manilaluzon
26,Stacy Layne Matthews,3,5,8,BTM2,QNN News,2011-02-14,Competition,Talk Show,5,25,Back Swamp,North Carolina,stacylmatthews,StacyLMatthews
28,Yara Sofia,3,5,4,SAFE,QNN News,2011-02-14,Competition,Talk Show,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
29,Mariah,3,5,9,LOW,QNN News,2011-02-14,Competition,Talk Show,8,29,Atlanta,Georgia,mug4dayz,mug4dayz
30,Alexis Mateo,3,5,3,SAFE,QNN News,2011-02-14,Competition,Talk Show,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
31,India Ferrah,3,5,10,ELIM,QNN News,2011-02-14,Competition,Talk Show,10,23,Dayton,Ohio,indiaferrah,Indiaferrah
33,Raja,3,5,1,SAFE,QNN News,2011-02-14,Competition,Talk Show,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,5,6,HIGH,QNN News,2011-02-14,Competition,Talk Show,13,29,Los Angeles,California,itsshangela,itsSHANGELA
